,author_gender,author_birth_year,narrative,label
0,זכר,1995,"שנת 2020 הייתה מטלטלת למדי בשבילי, עברתי הרבה מאוד חוויות בה, בין אם הן חיוביות או לעומת זאת שליליות, חלקן היו בעלות אופי דו משמעי, כלומר לעיתים חיובי ולחילופין שלילי. אחת החוויות היותר משפיעות הייתה מעבר מוסד לימודים, אפשר לסייג אותה בתור חוויה חיובית באופן כללי אך כמו שספרתי קודם לכן היו בה רגעים פחות חיוביים ואפילו שליליים למדי.
זה היה למעשה מעבר מאוניברסיטה נחשבת מאוד למכללה מקצועית לא פחות אך עם שם איך נאמר פחות מפורסם ופחות יוצא מן השורות הראשונות של הקידמה האדמית בארץ ובכלל בעולם.
המעבר הזה הכה חזק באגו ואף נגע בתדמית שלי, אפשר להגיד את זה בצורה ישירה ובדוקה שזו גם דעת הכלל על הפן המקצועי שלי.
אני סובר שהחלק שהיה הכי משמעותי במכה הזאת הוא הציונים בקורסים השונים, כנראה שזה קרה כך כי מאחורי הקלעים אני הייתי מצפה להעלות את הציונים עקב הירידה בקושי האקדמי המשתמע מן השינוי אך זה לא קרה, שאלתי את עצמי מדוע זה כך פעמים רבות וטרם הבנתי את התשובה לכך.
הלימודים במוסד החדש היו במתכונת רחוקה בלבד, למדתי שעות ורבות ואכן השקעתי את רוב כוחותיי במשימות והאתגרים, טוב, אם להיות כנה עד הסוף, לאחר חשיבה רחוקה שנים אחורה והשוואה יסודית לתקופה הקודמת לכך זה לא באמת באותו כנה המידה אבל עם יד על הלב, השקעה שלדעתי מספקת.
הטלטלה העצומה סביב הנושא הזה לא אפשרה לי מנוחה תקופה ארוכה ולקחה חלק ניכר בשנה שחלפה, במקביל אליה עברתי עוד חוויות שגם הן היו חלקן חיוביות וחלקן חיוביות פחות אך אני שמח ובכך שכל זה קרה בסופו של דבר, אני סובר כי החלפת סביבה שאיננה מספקת הייתה מהלך סך הכל טוב ובריא לעתיד.
חלק מהדברים שתרמו לכך היה גם החלפת מקום עבודה, מעבר דירה ועוד כמה דברים פחות משמעותיים אך עדיין משפיעים, הסיכום הכללי שלי של החוויה הזו הוא אכן חיובי אל לעולם לא אוכל לסווג אותה בתור טובה או לא טובה בצורה חד משמעית, הרי ישנם כל כך הרבה פקטורים אשר השפיעו יחדיו ובבת אחת. אני לא יודע אם הייתי חווה את זה שוב או בכלל אם הייתה ניתנת לי ההזדמנות לחזור אחורנית.",1
1,זכר,1992,"בשנת 2018 קיבלתי החלטה שאני מתחיל ללמוד לתואר ראשון במדעי המחשב. בשונה מרוב הסטודנטים לא החלטתי ללמוד כדי למצוא עבודה בהמשך אלא כדי להעשיר את עצמי ולהפתח לעולמות חדשים בעולם הטכנולוגיה שכן כשהתחלתי ללמוד כבר עבדתי בענף ההייטק מספר שנים.
היום אחרי 3 שנים אני יכול לומר שהמערכת האקדמאית עדיין תקועה מאחור ואיכזבה אותי מאוד. 80% מהתואר בכלל לא נוגע בדברים רלוונטיים לתעשייה וגם ה-20% רחוקים מלהיות חדשניים ומעודכנים.
המבנה של הלימודים והמבחנים דחקו אותי למצב שבו למדתי כדי לעבור ולא כדי ללמוד והדגש היה על ציונים במקום על אתגר מחשבתי והעשרת הידע. אני חושב שאם האקדמיה לא תמציא את עצמה מחדש כמו שעשו בחברת Coursera, לא יהיה לה מקום בעולם החדש. דור ה-Z כבר לא יפול למלכודת התואר ולא יסכים לבזבז 3 שנים מחייו רק כדי להוכיח שהוא שווה משרת Junior כלשהי בתחום כלשהו. ספציפית במדעי המחשב אני מסכים שכן חשוב להבין את הצד התיאורתי והמתמטי של הנושא אבל הוא לא יכול להוות 80 אחוז מהתוכן הלימודי. כתיבת הפסקה הזאת היא דוגמא קלאסית לכמה אנחנו מבזבזים את הזמן באקדמיה, משימה שלא קשורה לכלום כאשר יש הבטחה מעורפלת שהיא תעזור לנו בהמשך ועוד מפתים אותנו לבצע אותה עם 5 נקודות עלובות - פשוט בדיחה וזלזול באינטלגנציה. החוויה שלי מהלימודים היא מאוד מאכזבת, מבחינה מקצועית לא מרגיש שקיבלתי כלים להתחיל ולהתמודד אפילו עם האתגרים שיש בחוץ. אז מה אפשר לשפר? אני חושב שקודם כל צריך לשפר את התקשורת בין המרצים לסטודנטים, לא מרגיש שהם קשובים מספיק. בנוסף לכך, אני חושב שכדאי להכניס תוכן קצת יותר עדכני ורלוונטי לתעשייה ולהוריד קצת מהחומר שלא רלוונטי בשום צורה. הייתי שוקל להקדיש את הסימסטר האחרון לסימלוץ של העבודה באזרחות, כלומר קורסים שמדמים עבודה שוטפת בחברת הייטק, בתור מפתח/מנהל מוצר וכו. ספרינטים משימות הכל. ככה סטודנטים לא יגיעו שוקיסטים לתעשייה.
וזהו אין לי כבר מה לכתוב דוחף פה עוד כמה מילים סתם כדי להגיע לשלוש מאות",1
2,זכר,1992,"לפני מספר שנים אני ובת הזוג שלי טסנו ללונדון זה היה בסוף דצמבר והיינו אמורי לחגוג שם את תחילת השנה החדשה, טסנו ל10 ימים והכנו את הלוז שלנו מראש כך שלא נבזבז זמן על חיפושים ותכנונים של הרגע האחרון וליומיים האחרונים השראנו זמן חופשי כדי שנוכל לעשות מה שיתאים לנו באותו הרגע. באותו יום אני לא הרגשתי טוב ורציתי לנוח במלון אך בת הזוג שלי שכנעה אותי שחבל לא לנצל את הימים האחרונים וקצת להתאמץ אז הלכנו לרופא והוא נתן לי כדורים וכך המשכו לטייל באותו היום ולקראת הצהריים תוך כדי שאנחנו מסתובבים בעיר ראינו מרחוק לונה פארק והחלטנו ללכת אליו, הוא נקרא ווינטר וונדרלנד והוא לונה פארק נייד שנמצא שם רק בתקופה הזו של החורף, כשאר הגנו לשם היה תור ארוך ושם נאלצנו לחכות בערך כשעה עד שהצלחנו להיכנס, כשאר נכנסו תחילה עשינו סיבוב כדי לראות את המקום ומה נמצא בו. התחלנו לעלות על המתקנים חלקם היו יותר מהנים וחלקם פחות לקראת הערב ראינו מתקן גבוהה שהוא כמו נדנדה שמסתובת על ציר של 360 בגובה של בערך 15-20 מטר אני מאו פחדתי לעלות על המתקן אבל בת הזוג שלי התעקשה שנעלה עליו ולאחר שכנועים רבים הסכמתי, בתחתית המתקן היה ניתן להניח דברים כמו תיקים ומעילים כי לא היה ניתן לעלות איתם למתקן בת הזוג שלי שמה את התיק שלה שם ואז עלינו למתקן לאט לאט המתקן התחיל לעלות לגובה וכשאר הגיע לשיא הגובה שלו התחיל להתנדנד ולאט לאט תפס תאוצה עד שהתחיל לעשות סיבובים מלאים במהירות רבה לקראת שיא המהירות של המתקן הבת זוג שלי הוציאה את הידייםים מהכיסים כדי להחזיק את מוטות הבטיחות של המתקן כדי לקבל טיפת תחושת אחיזה וכשאר הותיאה את הידיים שלה הטלפון שלה התחיל להחליק לה מהכיס של המעיל לאט לאט כשהוא כבר בלט טיפה מהכיס שנינו שמנו לב לזה אבל לפני שמישהו מאיתנו הספיק להחזיק אותו או להכניס חזרה לכיס ראינו שנינו איך הוא עף לה מהכיס כדי שהמתקן ממשיך לפעול לאחר מספר רגעים לאחר מכן המתקן סיים והתחיל לרדת ברגע שירדנו מהמתקן רצינו ללכת לחפש את המכשיר כאשר באנו לאסוף את החפצים שלנו ראינו את הטלפון מונח לידם עם הגב כלפי מעלה, ישר שינינו קיווינו לטוב אבל ברגע שהרמנו אותו המסך היה מרוסק והמגן שהיה אמור לשמור עליו היה כמו חדש לאחר מכן בת הזוג שלי התבאסה מאוד והעדיפה לוותר על המשך הערב וכך חזרנו למלון וסיימנו את היום",1
3,נקבה,1991,"האישה שבקושי הכרתי חייכה תמיד, העיניים שלה ברקו כשהביטה בי ממרחק הספה השחורה, נכנסת הביתה אחרי יום ארוך בגן, על שולחן הסלון הנמוך והלבן נחה לה ערימה של תרופות, והיא חייכה וקראה לי, ואני בהיתי לרגע אחד בראש המבריק הנקי משיער ובפנים העגולות, בעיניים הנוצצות שקוראות לי לבוא ורצתי אליה בשמחה אחת גדולה, בכל זאת, לא כל יום היא שם, על הספה הגדולה שבסלון, עם הטלפון הקווי הלבן וערימה של תרופות. 
האישה שבקושי הכרתי אהבה לראות שאני מקולחת, שהשיער שלי אסוף יפה וגבוה והשמלות שאני לובשת נקיות. היה לה חשוב לדעת שהראש שלי נקי מכינים, שאני אוכלת טוב, שאני שמחה ושיש לי חברות ושלרגע אחד אני חלילה לא חשה בחסרונה. היא חלמה על היום בו יהיו בה כוחות לעמוד בפתח הדלת ולקבל אותי כשאני חוזרת מהגן, לאפות איתי עוגיות ולבשל לי מרק, ואורז, וקציצות. וללכת איתי לגינה ולשיר ""נד-נד נד-נד.."" ולהקריא לי סיפור לפני השינה, ולחבק אותי כשאני מתעוררת מסיוט לילה. היא חלמה על ימים אלה, אבל היו רגעים בהם היא לא הייתה בטוחה שהם יגיעו, והיו רגעים שהיא האמינה בכל ליבה שיהיו לנו מלא ימים כאלה, יחד. 
באיזה יום אחד, אחרי שחזרתי מהגן ושמחתי לראות אותה על הספה הגדולה בסלון, אחרי שירד לו הערב ואכלתי אוכל טוב וקלעו לי צמה והלבישו בפיג'מה והשכיבו לישון, שמעתי אותה מחדר הילדים, היא הקיאה אל האסלה הלבן בחדר השירותים שבסוף המסדרון ואני קמתי ורצתי בהיסוס מה, הצצתי בה מבעד לדלת הפתוחה, היא סובבה את ראש וראתה אותי, חרדה גדולה השתקפה מהעיניים שלה לרגע אחד ארוך ואז היא חייכה את החיוך הנצחי שלה והרגיעה אותי. הכל בסדר, היא בסדר, ואני הבטתי בחתיכות של פלפל אדום שלא עוכלו שנחו להן באסלה וידעתי שלא הכל בסדר, בכלל לא. 
האישה שבקושי הכרתי עזבה ביום שבת אחד, הימים שהיא חלמה עליהם לא הגיעו, ואני נשארתי עם החיוך הרחב ההוא שלה והעיניים הנוצצות ועד היום אני אומרת ""הכל בסדר"" גם כששום דבר לא בסדר.",1
4,נקבה,1992,"בדרך חזרה מהטיול שנתי בכיתה ח' התקשרתי לאבא שלי שיבוא לאסוף אותי ועוד שתי חברות טובות שלי חזרה הביתה, אנחנו גרות בצד השני של העיר וללכת ברגל לא הייתה אופציה, בטח לא עם תיקים או בשעה מאוחרת כשכבר חושך בחוץ. 
כשירדנו מהאוטובוס התקשרתי להגיד לו לצאת והוא אמר לי שהוא תיכף יוצא מהעבודה וייקח לו כמה דקות עד שהוא יגיע לאסוף אותנו. הגענו לחנייה של בית הספר וכל אחד לקח את התיק שלו מהאוטובוס. לאט לאט ההורים של שאר הילדים בכיתה מתחילים להגיע ולאסוף אותם הביתה, כולם אומרים לנו שלום ורק אני וחברות שלי נשארות בחנייה לבד מחכות שאבא שלי יגיע לאסוף אותנו. 
עבר לא מעט זמן וכבר היה מאוחר, חשבתי שמשום מה לוקח לו זמן לצאת והוא סתם מתעכב או פשוט נתקע טיפה בפקקים אז לא התקשרתי אליו. אחרי לא מעט זמן אבא שלי התקשר אלי לשאול מתי אנחנו מגיעים לבית ספר כי הוא כבר הגיע והוא לא רואה שום אוטובוס או ילדים.
הסברתי לו שהאוטובוס כבר הגיע ממזמן ושכולם כבר הלכו, גם כמה מורים שלנו שעוד חיכו לתלמידים של ההורים המאחרים. 
החנייה של הבית ספר הייתה גדולה אבל לא עד כדי כך שלא נשים לב לאוטו שנמצא שם. אני ואבא שלי ממשיכים לדבר והוא ממשיך להתעקש שהוא נמצא ליד השער. אנחנו מסבירות לו שאנחנו ליד השער ואין פה שום מכונית, החנייה ריקה מאדם או ממכוניות כי זו חניה של בית ספר והשעה כבר תשע בערב. שאלתי אותו אם הוא בתוך האוטו או אם הוא מחפש אותנו מחוץ לאוטו. שאלתי אם האורות ברכב דלוקים והשיחה ממשיכה ככה עם ניסיונות של שנינו להבין מה קורה. אחרי שאנחנו ממשיכים וממשיכים בתיאורים והסברים על איפה כל אחד מאיתנו נמצא הוא מתעקש שהוא ליד ""השער הקטן"". אני וחברות שלי מסתכלות אחת על השנייה ומבינות שהוא בא לאסוף אותנו מהבית ספר היסודי שלמדנו בו לפני כמעט שנתיים.
אבא שלי פשוט לא זכר באיזה כיתה אני.",1
5,זכר,1991,"את הרכב לטיול השכרנו בשדה תעופה שזו כנראה האופציה היותר טובה גם אם טיפה יותר יקרה למי שלא רוצה לעבור בפריז. היעד הראשון לטיול היה ג'יברני, הכפר של הצייר הצרפתי המפורסם קלוד מונה. כפר קטן ומאוד תיירותי שבו אפשר לבקר בגנים של קלוד מונה, שהיו מקור השראה להרבה מציוריו, ומוזאיון. בנוסף ישנם מספר גלריות מודרניות.
משם המשכנו לאטרטה (etretat) עיירה על חופי תעלת למאנש שמפורסמת בגלל הצוקים הלבנים (דומה קצת לראש הנקרה אבל הרבה יותר גדול ומרשים) אפשר ללכת לטייל לאורך המצוקים לכיוון מערב, בדרך יש כמה בונקרים מימי המלחמה. הנוף מדהים והעליה וההליכה לא קשים במיוחד.
משם תכננו להמשיך ישר לקלסי  ולדירה שתיאמנו כבר מהארץ אך קרובי המשפחה מפריז המליצו לעשות עצירה בהונפלור Honfleur עיר נמל עתיקה ומאוד יפה שגם ככה בדרך, כשעה נסיעה מאטרטה. בדרך עוברים בגשר מרשים שחוצה את השפך של הסן. אל הונפלור הגענו לקראת החושך כך שלא התעכבנו יותר מידי עליה. אבל תוכלו למצוא כאן נמל דייגים מסעדות כנסייה וחנויות תיירים לרוב. בגלל שהחנויות נסגרות יחסית מוקדם, סיימנו את השוטטות בעיירה ועשינו קניות לערב ולארוחות של היום הבא והתחלנו את הנסיעה לקלסי, כשעה וחצי.
את היום השני גם העברנו באזור החוף אך יותר מערבה מהיום הקודם. החלטנו לוותר על קן (לא העיר של פסטיבל קאן). נסענו לבאייה Bayeux, כשעה נסיעה מקלסי. כמו בכל עיר שמכבדת את עצמה יש כנסיה גותית ענקית ויש כאן גם מוזיאון עם ""שטיח באייה"" שמתאר את המלחמה בין הנורמנים לאנגלים (עולה 9 יורו). ביום שאנחנו היינו היה שוק מאוד נחמד שנסגר בצהריים. לא בדקנו אם פתוח כל יום . בגלל שהעיר גדולה ותיירותית יש כאן יחסית הרבה מה לעשות, שהרבה סובב באמת סביב הפלישה לנורמנדי, אך לא רק.
מבאייה נסענו לחופי הפלישה (יש הרבה, רק תבחרו). בגדול כל האזור מלא במוזיאונים בונקרים אנדרטאות ובתי קברות. אנחנו נסענו לחוף אומהה אבל לצערי בחרנו לוותר על מוזיאון והסתפקנו בתרשימים ובכתובות החוף אומהה ובבית הקברות האמריקאי. למי שמעניין אותו ממליץ לעבור במוזיאון שקשור כדי להתחבר למקום.
את היום השלישי החלטנו להקדיש ל""נורמנדי השוויצרית"" ולטיול רגלי קצר באזור. תחנת המידע של האזור נמצאת בסיינט רמי שמצפון לקלסי.
האזור נקרא ככה למרות שהוא לא באמת מזכיר את שוויץ אבל באופן יחסי לאזור יש יותר טבע וגבעות מצוקות קטנות. זה יותר שם שיווקי לתיירות פנים שכן זה באמת יחסית קרוב לפריז.
האזור יחסית רווי בפעילויות כמו גלישה, טיפוס, קיאקים בנהר וראפטינג Via Ferrata טיולי אופניים וגם מסלולים רגליים לא ארוכים. כל זה קורה סביב הנהר המרכזי שנקרא האורן.
בגלל שהיינו קצת מחוץ לעונה אז שעות וימי הפתיחה קצת מצטמצמים. אם אתם מתכננים על הפעילויות כדאי לברר קודם באיזה יום להגיע ומה פתוח.
היום האחרון לטיול שלנו, קמנו מוקדם ועזבנו בצער את הצימר שלנו והתחלנו את הנסיעה לכיוון מון סן מישל (Mont Saint Michel), האתר השלישי הכי מתויר בצרפת (אחרי מגדל אייפל ורמונות וורסאי). הנסיעה אורכת כמעט שעתיים. האתר הוא מעין אי רק בגאות וכאשר יש שפל הים מתרחק קילומטרים מהאי. הגאות והשפל הם מחזוריים וקורים פעמיים ביום בזמנים משתנים. אנחנו הגענו בזמן השפל.",1
6,זכר,1995,"בחג פסח האחרון היה לנו במשפחה התלבטות גדולה איך לחגוג 
את חג  הפסח השנה, באיזה צורה והיקף , והחלטנו  החוג המצומצם של בני משפחתי  אמי ואבי  ואני הילדים שלאור הסגר האחרון עקב מגפת הקורונה שפקדה  את העולם ובין היתר את ארצנו משנה שעברה  והאיסורים שלוו למגפה זו מטעם הממשלה  בין היתר איסור  להתאחד  עם אחרים בחגים   עם בני המשפחה המרובים הן הזקנים והצעירים  והילדים.
עלה הרעיון כי השנה נתאחד יחדיו כל בני המשפחה המורחבת קטנים כגדולים - ננהל אירוע גדול   ומפואר  שיסמל את ההיפוך הגמור  מהשנה שעברה (כל איש עם בני ביתו בלבד  בביתו ) כדי לשכוח  מהר מאוד את תקופת המגפה ואת חולייה . 
וכך היה   לאחר תיאום עם כל בני המשפחה המורחבת  אני עם בני משפחתי השכרנו  שני סוויטות בבית מלון בנתניה  על חוף הים  ע0 נוף  פסטורלי מדהים  וזאת למשך 3 לילות  בין היתר ערב חג במוצאי שבת .
   ואחד הסוויטות הייתה ענקית בצורה כזאת שניתן לארח בה כ 40, איש , סיכמנו ותיאמנו עם  המלון  שהם יערכו עבורנו  שולחן ארוך המכיל 40 כסאות  לאורחים וכן צלחות  וסכום ומפות  ואכן כך היה , ואילו , אני ובני משפחתי   דאגנו שכל משפחה נוספת שהגיעה  לאירוע ליל הסדר  תדאג להביא עימה אוכל  לארוחת ערב חגיגית לפסח וכל  הברכות מתאימות לחג  .
ואכן הייתה חלוקה צודקת  ויעילה בין כל בני  המשפחה   והעסק התנהל כמבצע צבאי  כל  אחת  מהאחיות של אימי  ובני משפחתה  המורחבת   טרחה והכינה מאכלים  מטעמים כיד המלך  אשר מתאימה   לחג  הפסח ומנהגיו   , וכן ואחרים דאגו  לקנות ולהביא פירות , פיצוחים  וכו  עוגות  ועוד ועוד .
   בערב החג החלו לזרום האורחים למלון ולסוייטטה בה היה ערוך שולחן החג , עם ילדיהם  זורמים לתוך המלון כשכל המשפחה מגיעה עם  אישור חיסון   לקורונה מתאים  או  בדיקה עדכנית .  
אחד מבני המשפחה שהוא שומר מסורת דתי ( ויישן במלון ) ניהל וערך את כל ברכות הפסח  וקריאת ההגדה  וכל האחרים מצטרפים אליו בשירה  ושמחה גדולה  כמנהג החג  והילדים צהלו ושמחו  על כל השמחה שהייתה מנת חלקם - והחג התנהל בצורה מופתית יפה ונעימה בחיק כל המשפחה  ונהננו מאוד  מהשירה בציבור מהתפילות של ההגדה מארוחת הערב הגדולה והמכובדת שהוכנה  מראש - מרוב שהערב היה מוצלח עד כדי כך שהזמנו שוב את האורחים גם לארוחת  צהרים יום למחרת  באותה שיטה (כי נשאר המון אוכל  שהביאו בני המשפחות עימם) וגם התארחו לארוחת  צהרים יום למחרת . 
 האמת והעניין היה כרוך בלוגיסטיקה ומאמץ ועבודה אך היו מתנדבים רבים  לכך מכל הלב - השמחה הייתה גדולה ואושר היה שפוך על פני כל האורחים והחוגגים  . 
לסיכום - ברצוני לצייו שסוף כל סוף הצלחתי  והצלחנו  להרגיש   אנשים חופשיים  ומאושרים  משוחררים מעולה של המגפה ,  מבלים נהנים מחג פסח כהלכתו   כפי שרצינו -  והאיחוד המשפחתי הזה גרם להרבה אושר ונחת וטוב  לכל בני המשפחה המורחבת הן לזקנים למבוגרים לאימהות ו לילדים  שחגגו ברוב הדר  ונועם ובכך לדעתי כולם הטעינו -מצברים למהלך כל השנה הקרובה  העומדת בפתח .",1
7,זכר,1986,"ביום הבחירות נסענו לבקר את אימי ז""ל בבית הקברות. היה זה יום חמים מאוד השנוא עליי.
קמנו בבוקר מאוד מאוחר וכהרגלנו לא הצלחנו לעמוד בלוחות הזמנים, קבענו ב7 בבוקר עם המשפחה שלא הפסיקה לצלצל כיוון שאנו צריכים לאסוף אותם. 
ברוב כעס כמעט והכל בוטל. הכי מצחיק שקמנו בבוקר חשבנו עוד לנקות את המכונית לפסח לקנות קפה ולהצביע. כמובן שלאחר שיחת הטלפון מהמשפחה כל זה נמוג, הכעס הרב גרם לנו למהר לבטל הכל ופשוט להגיע.
נסענו לכיוון המשפחה נסיעה של כ-30 דקות, כשכהענו המשפחה כבר הפסיקה לכעוס ורק חשבה איך להגיעה לבית העלמין.
הגענו לבית העלמין והנחנו פרחים קראנו תפילות הדלקנו נרות וניקינו את הקבר.
לאחר כמה תפילות דיברנו בזכרה התפללנו כל אחד באופן אישי והמתנו לחברי המשפחה לסיים.
לאחר בית העלמין כהרגלנו המשכנו מעצב לשמחה כמו שאנו עושים על שנה.
לאחר אבל צריך להגיע השימחה ממש מו יום העצמאות.
בשעה 11:00 כבר יצאנו מבית העלמין והיעד היה מסעדה (כל זאת מבלי לחושב שצריך תו ירוק).
התלנו להסתובב בין בית הקפה וכל פעם נתקלנו סירוב שאין מקום או שאין להיכנס פנימה ללא תו ירוק.
צחקנו, מה חשבנו לעצמנו שאנו נכנס למסעדה שאין לנו צו ירוק בכלל. כלומר לחלק מאיתנו.
המשכנו לחפש אולי יש ""צדיק"" בסדום שלא יבקש תו ירוק ? אומנם לפי החוק מותר לשבת בחוץ בכל מסעדה, אבל מי רוצה לשבת ביום שרב בחוץ. התחיל וויכוח בית בני המשפחה לחלק לא היה אכפת לשבת בחוץ ולחלק כן. אני בכלל חשבתי, למה עשיתנו את זה ביום בחירות, כל עם ישראל בחוץ. אנשים גדשו את ההקלות ויצאו לבלות ולקנות דברים, הרי שנה הם ישבו בבית. לאחר וויכוחים חלק מהמשפחה הלכו הבייתה.
אני החלטתי ללכת עם חלק מהמשפחה לאכול מאכל שכיף לאכול בכל מקום בחוץ בקיץ וזה גלידה !
הגענו למקום ושחנו שאנו סוף סוף נהנים קצת ולאחר מכן שבו הבייתה לאחר יום ארוך. וכמובן הצבענו.
ובהגיענו הבייתה שמחים ומאושרים נחנו והלכנו לישון לאחר יום מעייף.",1
8,נקבה,1995,"במהלך תקופת הקורונה התחלתי לפתח תחביב חדש בנוסף לתחביבים הקיימים שלי.
מכיוון שהיה לי הרבה מאוד זמן פנוי, בין היתר בעקבות הסגרים והלימודים דרך הזום, התחלתי להתאהב בעולם האפייה, המשמעות העיקרית של התחביב היא ניסיונות אין סופיים על המשפחה למתכונים חדשים.
אחד הדברים היותר כיפיים שיצא לי לעשות במהלך התקופה היא להירשם לקורס עיצוב עוגות שהועבר על ידי מרצה מחו""ל, הקורס היה מעשיר מאוד וטרם לידע וליצירותיות שלי.
במהלך הקורס למדנו להכין הרבה אבני בסיס לקראת השיעור האחרון של הקורס שכלל תוכו אפייה , בנייה ועיצוב של עוגת חתונה.
עוגת החתונה הייתה בנויה משלוש קומות בגדלים שונים, כאשר כל קומה היא בטעם אחר.
העוגה הראשונה שלי הייתה בטעם תפוזים, עטופה בקרם חמאה בטעם וניך ובתוכה רוטב פירות יער עם קרם חמאה.
מעל הקומה הראשונה, הקומה השנייה הייתה בטעם וניל ופצפוצי שוקולד חלב, לבן ורובי. בתוך העוגה היה גנאש שוקולד חלב ועיטוף של קרם חמאה.
הקומה האחרונה הייתה עוגת וניל עם דובדבנים שגם כן הייתה עטופה בקרם חמאה בטעם וניל.
בתוך שתי הקומות הראשונות נעצנו קשים מקרטון שיחזיקו את כלל העוגה וייצבו אותה.
לאחר ששמנו את כל העוגות אחת על השנייה התחלנו בביצוע הקישוטים, הכנו מקרונים שאלו עוגיות צרפתיות בצבעים שונים, שזרנו פרחים שיתאימו לעוגה והכנו אותם לטובת הקישוט והכנו קישוטים שונים ממרנג אפוי.
על העוגות טפטפנו גנאש שוקולד לבן שלאחר שהתייבש צבענו אותו בצבע זהב.
לאחר שהגנאש התייבש ונצבע התחלנו להכניס את הקישוטים לעוגה, התוצאות היו מרהיבות וכלל תלמידות הקורס זכו להתנסות בעיצוב באופן מלא.
זכיתי במהלך הקורס להכיר הרבה בנות שמתעסקות בתחום שכל כך התחיל לעניין אותי בקורונה ובעזרתן קיבלתי השראה ואת הכח והרצון להמשיך ללמוד ולהתמקצע בנושאים השונים.
לאחר הקורס הלכתי ללמוד עוד מספר קורסים נספים ולהתנסות בטכניקות שונות במטרה ללמוד כמה שיותר.
בזכות הקורונה גיליתי דבר נוסף שאני מאוד טובה בו ושוקלת אולי לאחר הלימודים ללמוד את הנושא בצורה מקצועית יותר ואולי אפילו לפתוח מקום משלי ביום מן הימים.",1
9,זכר,1996,"חברה שלי ואני תכננו טיול, התכוננו כמה ימים לפני וארגנו הכל כדי שכשיגיע יום הטיול הכל יהיה מוכן ולא נצטרך לבזבז זמן נוסף, כי רצינו לצאת מוקדם בבוקר לפני הפקקים.
התחלנו בנסיעה שמים וויז ומוזיקה ונהנים מהנסיעה הארוכה שמצפה לנו, עוקף משאית עם ברזלים ענקיים כדי לא להיות מאחוריה ולפתע שומעים כאילו משהו התפוצץ, האוטו מתחיל לאבד איזון ואני מתחיל לשחק עם ההגה במהירות של 120 קמש כדי להישאר עם הפנים לכיוון הנסיעה ולא להסתובב ולהסתכן בהתהפכות של הרכב ובו""ז לוחץ על הברקס ועוצר לצד הכביש בשוליים הימניים כשפתאום מגיעים מלא מכוניות במהירות שאם היינו עוד בכביש היינו נפגעים מהם ובמזל יצאנו בשלום ונסענו לקנות גלגל חדש אחרי שהחלפנו אותו כי הוא נקרע לגמרי (ולא רק פנצ'ר)",1
